class, f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60, f61, f62, f63, f64, f65, f66, f67, f68, f69, f70, f71, f72, f73, f74, f75, f76, f77, f78, f79, f80, f81, f82, f83, f84, f85, f86, f87, f88, f89, f90, f91, f92, f93, f94, f95, f96
ZFn, 0.02468714836157807, 0.0674109059682267, 0.025108493490390578, 0.0709353421217828, 0.14105263157894737, 1.0, 0.5122699386503068, 0.02144541545290609, 0.008027923211169284, 0.017793594306049824, 0.05735204392922514, 0.19444444444444445, 0.049129155400031814, 0.05024439332949971, 0.2346067415730337, 0.024345764566426554, 0.10279369627507164, 0.01792102822313502, 0.0709353421217828, 0.6213592233009708, 0.08803217064428709, 0.5258064516129032, 0.04043062830670422, 0.09071899630046647, 0.3901847924871251, 0.005232394482804299, 0.3465553235908142, 0.030461239333165305, 0.10441767068273092, 0.1170076726342711, 0.046211714132187, 0.0625, 0.010615946035607652, 0.24087591240875914, 0.056179775280898875, 1.0, 0.147346480679814, 0.18181818181818182, 0.05099502487562189, 0.0924196750238953, 0.08306583319254379, 0.05457815565729235, 0.14609929078014183, 0.04898403483309144, 0.04848500752247997, 0.4768711018711019, 0.03299492385786802, 0.23943661971830985, 0.2871004566210046, 0.029585798816568046, 0.08196380278760142, 0.09683313032886723, 0.030406514743547646, 0.03610771113831089, 0.08434518647007806, 0.12741030021967292, 0.04181776097523339, 0.3375, 0.6067415730337079, 0.04813004252613171, 1.0, 0.42038216560509556, 0.04287418426777068, 0.09892787524366471, 0.013775829680651221, 0.36419753086419754, 0.7272727272727273, 0.031015694127508965, 0.19974473516273133, 0.048688217602663286, 0.06721433905899925, 0.0, 0.047212230215827336, 0.014642614536946185, 0.14435695538057744, 1.0, 0.6482982171799028, 0.1675084175084175, 0.0392156862745098, 0.05085216232720813, 0.0, 0.17861482381530985, 1.0, 0.2275449101796407, 0.25, 0.3856589147286822, 0.36, 0.21212121212121213, 0.11055276381909548, 0.37142857142857144, 1.0, 1.0, 0.08252569750367107, 0.0, 1.0, 0.015051740357478834, 0.031578947368421054
ZFn, 0.0030120139575590186, 0.03370545298411335, 0.0052696838189708614, 0.03301946013810421, 0.04842105263157895, 0.0, 0.1441717791411043, 0.012068248023304202, 0.0010471204188481676, 0.004529278550630864, 0.011592434411226357, 0.25, 0.020538412597423256, 0.03924669350201265, 0.18696629213483146, 0.02179265067931066, 0.06626074498567336, 0.011627136610573737, 0.03301946013810421, 1.0, 0.04493399772707404, 0.2161290322580645, 0.020583822484272592, 0.020749557664468392, 0.17631020902756742, 0.003261967446558376, 0.06471816283924843, 0.014546501998343715, 0.0429718875502008, 0.030051150895140665, 0.016792047286405157, 0.0, 0.006082052416233551, 0.029197080291970802, 0.011235955056179775, 0.13398058252427184, 0.08529741863075196, 0.0, 0.014925373134328358, 0.02654216601720462, 0.03052317395956524, 0.020846958796599084, 0.015602836879432624, 0.018867924528301886, 0.02890031839333823, 0.09173596673596673, 0.03567399887196841, 0.07042253521126761, 0.017123287671232876, 0.014911242603550296, 0.013729977116704805, 0.0453714981729598, 0.006829973074144612, 0.0055079559363525096, 0.06764960971379011, 0.04930436905052477, 0.04880024689452974, 0.0625, 0.4101123595505618, 0.0329875601128731, 0.4915254237288136, 0.1751592356687898, 0.022945758192407552, 0.09421702404158544, 0.023794614902943018, 0.8703703703703703, 0.2727272727272727, 0.023634331486052252, 0.05994165375148145, 0.036752605595172794, 0.041407352086963736, 0.0, 0.0339478417266187, 0.008302513397237527, 0.03674540682414698, 0.06666666666666667, 0.26742301458670986, 0.1111111111111111, 0.00980392156862745, 0.014878143562982291, 0.045454545454545456, 0.024301336573511544, 0.0, 0.3532934131736527, 0.0, 0.1375968992248062, 0.0, 0.0, 0.01507537688442211, 0.14285714285714285, 0.0392156862745098, 0.12077294685990338, 0.02408223201174743, 0.0, 0.0, 0.023518344308560677, 0.007017543859649123
ZFn, 0.0050010797785885585, 0.09768140832975526, 0.0046497210167389955, 0.02322661644695543, 0.02526315789473684, 0.058823529411764705, 0.09049079754601227, 0.027243723123872937, 0.002443280977312391, 0.015852474927208024, 0.024405125076266018, 0.05555555555555555, 0.02159217432797837, 0.06986774008050604, 0.24, 0.018145345126287956, 0.05050143266475645, 0.01474095667152511, 0.02322661644695543, 0.23300970873786409, 0.043098172917213046, 0.17419354838709677, 0.018056908215103577, 0.04921988097152968, 0.1266282944562254, 0.005397976586690511, 0.07306889352818371, 0.02199978396284161, 0.04136546184738956, 0.023017902813299233, 0.02968833960236432, 0.125, 0.022227137012053522, 0.08759124087591241, 0.0, 0.2174757281553398, 0.11976911976911978, 0.022727272727272728, 0.0024875621890547263, 0.029850746268656716, 0.0635242439601284, 0.026504251144538915, 0.01702127659574468, 0.03193033381712627, 0.03128826843007593, 0.1748960498960499, 0.0823463056965595, 0.04225352112676056, 0.027207001522070014, 0.048284023668639056, 0.042230081131682966, 0.03989037758830694, 0.009719577067051947, 0.022643818849449205, 0.053555941023417174, 0.1159384915792043, 0.03954170202916442, 0.0, 1.0, 0.032192679146297844, 0.5220338983050847, 0.12101910828025478, 0.02694547751035015, 0.14952891487979209, 0.03600500939261114, 0.8919753086419753, 0.18181818181818182, 0.03252922274484236, 0.05843741453186252, 0.0596969754289065, 0.045307443365695796, 0.0, 0.04102967625899281, 0.01301985055475885, 0.09973753280839895, 0.2, 0.2188006482982172, 0.17424242424242425, 0.0, 0.02809082329428746, 0.045454545454545456, 0.03402187120291616, 0.0, 0.3772455089820359, 0.0, 0.09496124031007752, 0.0, 0.0, 0.06030150753768844, 0.11428571428571428, 0.06862745098039216, 0.23671497584541062, 0.01644640234948605, 0.0, 0.0, 0.00658513640639699, 0.007017543859649123
ZFn, 0.026255668837589934, 0.37183340489480465, 0.07842529448233106, 0.5938480853735091, 1.0, 0.0, 0.17484662576687116, 0.073685670689416, 0.1137870855148342, 0.01844063409899709, 0.08541793776693106, 0.5833333333333334, 0.08833704469540321, 0.044853364002300174, 0.5937078651685394, 0.061821829123734844, 0.33542263610315187, 0.030972571882867363, 0.5938480853735091, 0.019417475728155338, 0.2157531252731882, 1.0, 0.0991550630412466, 0.6726717066109056, 0.30081793395940626, 0.08285728478466048, 1.0, 0.09592049832571202, 0.02971887550200803, 0.3101023017902813, 0.021493820526598602, 0.0, 0.010173614950790668, 0.35766423357664234, 0.033707865168539325, 0.3029126213592233, 0.4298540965207632, 1.0, 0.16791044776119404, 0.32247628850819793, 0.25449118657430875, 0.13662524525833877, 0.13333333333333333, 0.2623367198838897, 0.1209019978307267, 0.017151767151767153, 0.17146080090242527, 0.014084507042253521, 0.02834855403348554, 0.20497041420118342, 0.6234657790721864, 0.021010962241169304, 0.15045642608524332, 0.05507955936352509, 0.22376409366869038, 0.6924578960214791, 0.05848314173289098, 0.025, 0.06179775280898876, 0.056476292675171895, 0.06779661016949153, 0.9490445859872612, 0.15212967511051856, 0.11427875243664717, 0.018472135253600502, 0.11728395061728394, 0.0, 0.12501746379173848, 0.3137478348071839, 0.14086292015813268, 0.26288274831964153, 0.0, 0.050134892086330936, 0.05724960374367877, 0.07874015748031496, 0.06666666666666667, 0.11831442463533225, 0.13720538720538722, 0.00980392156862745, 0.06367623383112196, 0.0, 0.11421628189550426, 0.0, 0.017964071856287425, 0.0, 0.03488372093023256, 0.12, 0.09090909090909091, 0.49748743718592964, 0.3142857142857143, 0.09803921568627451, 0.12560386473429952, 0.302496328928047, 1.0, 0.0, 0.07243650047036689, 0.23157894736842105
ZFn, 0.0015798865664177493, 0.0317732932589094, 0.0037197768133911966, 0.043565599497802886, 0.06526315789473684, 0.0, 0.02607361963190184, 0.008017755583298654, 0.002792321116928447, 0.0038822387576835974, 0.01525320317266626, 0.3333333333333333, 0.008330682360426276, 0.005822311673375503, 0.08719101123595506, 0.01221847360262606, 0.02005730659025788, 0.0034450775142440705, 0.043565599497802886, 0.05825242718446602, 0.02823673398024303, 0.23225806451612904, 0.009791792793029929, 0.03554769181277143, 0.06634353226295062, 0.003982249598463398, 0.12317327766179541, 0.009721672127605949, 0.00642570281124498, 0.01918158567774936, 0.002955400322407308, 0.125, 0.0037598142209443767, 0.0072992700729927005, 0.0056179775280898875, 0.009708737864077669, 0.03783870450537117, 0.25, 0.07213930348258707, 0.020807293581354313, 0.04550318184377992, 0.008093525179856115, 0.018439716312056736, 0.015602322206095792, 0.01307686924880165, 0.09147609147609148, 0.01833051325437112, 0.04225352112676056, 0.021689497716894976, 0.02698224852071006, 0.04098190139380071, 0.012180267965895249, 0.01819137059171209, 0.00795593635250918, 0.029596704249783175, 0.051501098364657064, 0.006133785973304529, 0.05, 0.07303370786516854, 0.009419339453916776, 0.06440677966101695, 0.11942675159235669, 0.018735527331415338, 0.014376218323586744, 0.003757044458359424, 0.027777777777777776, 0.0, 0.01494900572812369, 0.046403500774911115, 0.010138649819358012, 0.019334495062650402, 0.0, 0.00539568345323741, 0.0024530153219110874, 0.015748031496062992, 0.2, 0.05348460291734198, 0.06902356902356903, 0.0, 0.006051185255093543, 0.0, 0.0425273390036452, 0.0, 0.017964071856287425, 1.0, 0.011627906976744186, 0.48, 0.07575757575757576, 0.005025125628140704, 0.05714285714285714, 0.49019607843137253, 0.043478260869565216, 0.039647577092511016, 0.0, 0.0, 0.010348071495766699, 0.021052631578947368
XZ, 1.0, 1.0, 0.5799752014879107, 1.0, 0.9031578947368422, 0.11764705882352941, 0.9877300613496932, 1.0, 1.0, 1.0, 0.8145210494203783, 0.9166666666666666, 1.0, 0.30089131684876363, 1.0, 1.0, 0.816797994269341, 1.0, 1.0, 0.22330097087378642, 1.0, 0.6806451612903226, 1.0, 0.6678462280842851, 1.0, 1.0, 0.23799582463465555, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.291970802919708, 0.056179775280898875, 0.9087378640776699, 0.7072310405643739, 0.1590909090909091, 1.0, 0.5805455481214616, 1.0, 1.0, 1.0, 0.8846153846153846, 1.0, 0.183991683991684, 1.0, 0.43661971830985913, 1.0, 0.4035502958579882, 1.0, 1.0, 1.0, 1.0, 1.0, 0.88503783256041, 1.0, 0.4125, 0.07865168539325842, 1.0, 0.19322033898305085, 0.30095541401273884, 1.0, 1.0, 0.3231058234189105, 0.9907407407407407, 0.36363636363636365, 1.0, 0.773178958884128, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.6, 0.9902755267423015, 0.8476430976430976, 0.0784313725490196, 1.0, 0.8181818181818182, 0.43863912515188336, 1.0, 0.07784431137724551, 0.0, 0.16085271317829458, 0.0, 0.18181818181818182, 0.9698492462311558, 0.3142857142857143, 0.0, 0.3671497584541063, 1.0, 0.0, 1.0, 0.1636876763875823, 0.18947368421052632
XZ, 0.004944249326559144, 0.0034349506225848005, 0.007749535027898326, 0.007658505963590709, 0.01263157894736842, 0.0, 0.01687116564417178, 0.005271188791788043, 0.0010471204188481676, 9.705596894208993E-4, 0.010372178157413058, 0.0, 0.006441864164148242, 0.012075905692926969, 0.013932584269662922, 0.011853743047323789, 0.025071633237822348, 0.002120047701073274, 0.007658505963590709, 0.019417475728155338, 0.013200454585191014, 0.0, 0.0021847279618857096, 0.017371722695834004, 0.01938806422296274, 0.0017800076167767789, 0.0, 0.0016202786879343247, 0.00642570281124498, 0.03516624040920716, 0.028210639441160666, 0.0, 0.00519739024659958, 0.0, 0.0, 0.038834951456310676, 0.016674683341350006, 0.0, 0.0, 0.016395853246084845, 0.01813369375457566, 0.007864617396991498, 0.0, 0.050435413642960815, 0.0023966971064693326, 0.02494802494802495, 0.009870276367738297, 0.0, 0.0, 0.003076923076923077, 0.007073018514666112, 0.0036540803897685747, 0.00466277007946411, 0.0018359853121175031, 0.007697311361665221, 0.017085672443251158, 0.0038191497569631974, 0.0, 0.0, 0.01967330392273757, 0.020338983050847456, 0.027070063694267517, 0.003438355203143639, 0.012589343729694606, 0.009079524107701941, 0.006172839506172839, 0.0, 0.010082429097005541, 0.020740268028079132, 0.008228195282501372, 0.01750892042154178, 0.0, 0.00820593525179856, 0.00196241225752887, 0.0, 0.0, 0.009724473257698542, 0.018518518518518517, 0.0, 0.013934380725031921, 0.0, 0.0, 0.0, 0.011976047904191617, 0.0, 0.0, 0.0, 0.0, 0.005025125628140704, 0.0, 0.0, 0.004830917874396135, 0.0011747430249632893, 0.0, 0.0, 0.034807149576669805, 0.010526315789473684
XZ, 0.255975722030893, 0.3604551309574925, 1.0, 0.43188951663527936, 0.7326315789473684, 0.058823529411764705, 1.0, 0.2410875294770426, 0.07399650959860384, 0.08023293432546101, 1.0, 0.08333333333333333, 0.2507952918721171, 1.0, 0.6364044943820225, 0.5497401294793471, 1.0, 0.06830528686895455, 0.43188951663527936, 0.22330097087378642, 0.2042136550397762, 0.8, 0.165749782843305, 1.0, 0.3959406240533172, 0.09138476313480039, 0.06471816283924843, 0.19853814856155258, 0.808433734939759, 0.3101023017902813, 0.45486297689414296, 1.0, 0.01614508459581997, 0.6934306569343066, 0.34831460674157305, 0.9689320388349515, 1.0, 0.6590909090909091, 0.07711442786069651, 1.0, 0.8688967731035648, 0.27671680837148466, 0.2680851063829787, 1.0, 0.19966936076414402, 0.2344074844074844, 0.3688663282571912, 0.23943661971830985, 0.012557077625570776, 1.0, 0.122321614312461, 0.5627283800243605, 0.2056872660405858, 0.3390452876376989, 0.5857545533391153, 1.0, 0.3099683666383767, 0.0375, 0.011235955056179775, 0.3413616310957434, 0.15932203389830507, 0.6353503184713376, 0.11493930250508737, 0.5408544509421702, 0.3058860363180964, 0.3333333333333333, 0.18181818181818182, 0.21673729800214223, 1.0, 0.6319253976961053, 0.7883163222969048, 0.2, 0.3434127697841727, 0.1427654917352253, 0.5485564304461942, 0.06666666666666667, 1.0, 1.0, 0.029411764705882353, 0.3724532282240604, 1.0, 1.0, 0.0, 0.05389221556886228, 0.25, 0.060077519379844964, 0.02, 1.0, 1.0, 1.0, 0.0196078431372549, 0.7391304347826086, 0.3104258443465492, 0.0, 0.0, 1.0, 1.0
XZ, 0.04573714779327355, 0.06977243452125376, 0.1726596404215747, 0.06817325800376647, 0.18526315789473685, 0.11764705882352941, 0.13190184049079753, 0.04680260785129699, 0.007329842931937173, 0.0061468780329990294, 0.1671751067724222, 0.0, 0.05447749324001909, 0.15986198964922368, 0.2346067415730337, 0.08115254855475518, 0.11246418338108882, 0.014939711143500728, 0.06817325800376647, 0.04854368932038835, 0.02710027100271003, 0.13870967741935483, 0.02095233081519307, 0.12884027666076886, 0.11239018479248712, 0.012137168214859337, 0.0020876826722338203, 0.022791920210276168, 0.10481927710843374, 0.08056265984654731, 0.17598065556152606, 0.0625, 0.001990489881676435, 1.0, 0.42134831460674155, 0.13398058252427184, 0.07792207792207792, 0.22727272727272727, 0.018656716417910446, 0.10837438423645321, 0.15402376527566594, 0.03572596468279921, 0.04680851063829787, 0.11030478955007257, 0.02372205311220741, 0.28378378378378377, 0.05456852791878172, 0.0, 1.902587519025875E-4, 0.05325443786982249, 0.012273767422508842, 0.06120584652862363, 0.03979772772049649, 0.07527539779681762, 0.051387684301821335, 0.1401025140346595, 0.046447033407916054, 0.0, 0.0, 0.07241365605500576, 0.013559322033898305, 0.2213375796178344, 0.020980983790611186, 0.0335445094217024, 0.13368816530995617, 0.021604938271604937, 1.0, 0.035137148977786054, 0.08209499498586927, 0.09733860442241853, 0.1475396232677786, 0.0, 0.06710881294964029, 0.010302664352026567, 0.24146981627296588, 0.03333333333333333, 0.0940032414910859, 0.24494949494949494, 0.08823529411764706, 0.08033087214789318, 0.36363636363636365, 0.31470230862697446, 0.0, 0.0, 0.0, 0.025193798449612403, 0.0, 0.4696969696969697, 0.5577889447236181, 0.9714285714285714, 0.0, 0.08695652173913043, 0.03671071953010279, 0.009523809523809525, 0.0, 0.1589840075258702, 0.24561403508771928
XZ, 0.02050442709221309, 0.010734220695577501, 0.04587724736515809, 0.034777150031387316, 0.12, 0.058823529411764705, 0.046012269938650305, 0.021917048134276598, 0.009773123909249564, 0.0071174377224199285, 0.06101281269066504, 0.027777777777777776, 0.020339589629393987, 0.01904830362277171, 0.059325842696629216, 0.012309656241451628, 0.028832378223495703, 0.016562872664634954, 0.034777150031387316, 0.0, 0.006731357636157007, 0.04516129032258064, 0.010265589218499118, 0.039408074634067876, 0.11087549227506815, 0.008601990296888712, 0.0, 0.0025924459006949193, 0.10361445783132531, 0.023657289002557546, 0.03439011284255777, 0.0, 0.0016587415680636957, 0.13138686131386862, 0.0, 0.1883495145631068, 0.03735770402437069, 0.0, 0.0236318407960199, 0.026395118006028968, 0.047417919693641945, 0.020062132112491825, 0.06524822695035461, 0.08200290275761973, 0.0175816101605962, 0.13383575883575882, 0.023265651438240272, 0.028169014084507043, 9.512937595129375E-4, 0.021301775147928994, 0.061992926981485334, 0.07034104750304507, 0.018322716227753333, 0.1988984088127295, 0.046725932350390284, 0.05101293629484989, 0.029010107244811355, 0.0, 0.0, 0.016533524104765312, 0.0, 0.10668789808917198, 0.01143779383902884, 0.03102664067576348, 0.13462742642454603, 0.037037037037037035, 0.09090909090909091, 0.018721184743631537, 0.031269942565411615, 0.05498704295685399, 0.02257074101734296, 0.0, 0.043615107913669064, 0.0014718091931466527, 0.2755905511811024, 0.16666666666666666, 0.04700162074554295, 0.06060606060606061, 0.00980392156862745, 0.04174762671403986, 0.0, 0.15188335358444716, 0.0, 0.0, 0.25, 0.009689922480620155, 0.02, 0.2878787878787879, 0.01507537688442211, 0.42857142857142855, 0.0, 0.12560386473429952, 0.003524229074889868, 0.009523809523809525, 0.0, 0.0018814675446848542, 0.15087719298245614
